word_segment,instances,prominence
འི་,57,3.4713763702801463
ལ་,55,3.3495736906211935
ས་,42,2.5578562728380025
དུ་,33,2.0097442143727164
དང་,29,1.7661388550548112
མི་,24,1.46163215590743
ར་,24,1.46163215590743
སུ་,20,1.2180267965895248
གསུམ་,16,0.9744214372716199
ནས་,16,0.9744214372716199
ན་,15,0.9135200974421437
དེ,15,0.9135200974421437
རྒྱུན་,13,0.7917174177831912
དེ་,13,0.7917174177831912
ཀྱི་,13,0.7917174177831912
ཉམས་,13,0.7917174177831912
གཅོད་,11,0.6699147381242387
དང,11,0.6699147381242387
གཅིག་,10,0.6090133982947624
ནི་,10,0.6090133982947624
སོ,9,0.5481120584652862
ནི,9,0.5481120584652862
སྟེ,9,0.5481120584652862
གི་,9,0.5481120584652862
གཉིས་,9,0.5481120584652862
ལ,9,0.5481120584652862
མ་,9,0.5481120584652862
ཡིན་,8,0.48721071863580995
ནང་,8,0.48721071863580995
ལུས་,8,0.48721071863580995
བླ་མ་,7,0.42630937880633374
གྱི་,7,0.42630937880633374
མེད་,7,0.42630937880633374
གསུང་,7,0.42630937880633374
ལེན་པ་,7,0.42630937880633374
ས,7,0.42630937880633374
སེམས་,7,0.42630937880633374
གདམས་པ་,6,0.3654080389768575
ཏིང་ངེ་འཛིན་,6,0.3654080389768575
ཏེ,6,0.3654080389768575
འོ,6,0.3654080389768575
གསུང,6,0.3654080389768575
འདི་,6,0.3654080389768575
རང་,6,0.3654080389768575
ཡང་,6,0.3654080389768575
དུས་,6,0.3654080389768575
ནོ,6,0.3654080389768575
བྱ,6,0.3654080389768575
བཅུད་,6,0.3654080389768575
ཞིང་,6,0.3654080389768575
འཚོ་བ་,5,0.3045066991473812
སྒྲུབ་པ་,5,0.3045066991473812
འབྱུང་,5,0.3045066991473812
གནང་,5,0.3045066991473812
ཤིན་ཏུ་,5,0.3045066991473812
ངོ,5,0.3045066991473812
ཡེ་ཤེས་,5,0.3045066991473812
དབང་,5,0.3045066991473812
ཞེ་སྡང་,5,0.3045066991473812
དོན་,5,0.3045066991473812
ལྡན་,5,0.3045066991473812
རྩ་,5,0.3045066991473812
ཕྱག་,4,0.24360535931790497
བྱེད་པ,4,0.24360535931790497
གདམས་ངག་,4,0.24360535931790497
བྱུང་,4,0.24360535931790497
སོང་,4,0.24360535931790497
གིས་,4,0.24360535931790497
ནད་,4,0.24360535931790497
ནས,4,0.24360535931790497
ན,4,0.24360535931790497
གྱིས་,4,0.24360535931790497
ཞུ་,4,0.24360535931790497
ཅིག་,4,0.24360535931790497
ཏེ་,4,0.24360535931790497
ཟས་,4,0.24360535931790497
ཡོད་,4,0.24360535931790497
གཉིས་པ་,4,0.24360535931790497
བྱ་,4,0.24360535931790497
གདོན་,4,0.24360535931790497
སྐྱེ་,4,0.24360535931790497
བསྒོམས་,4,0.24360535931790497
ཨོཾ་,4,0.24360535931790497
ངག་,4,0.24360535931790497
ཀྱིས་,4,0.24360535931790497
ཡི་དམ་,3,0.18270401948842874
ཚོགས་,3,0.18270401948842874
ལོ,3,0.18270401948842874
ཆོས་རྗེ་,3,0.18270401948842874
ཐུན་མོང་,3,0.18270401948842874
ཡོན་ཏན་,3,0.18270401948842874
རྗེས་,3,0.18270401948842874
ཁྱོད་,3,0.18270401948842874
ཏུ་,3,0.18270401948842874
དངོས་,3,0.18270401948842874
ཆེན་པོ་,3,0.18270401948842874
ལྷ་,3,0.18270401948842874
ཐུགས་,3,0.18270401948842874
ཞུས་པ,3,0.18270401948842874
ཁྱེད་,3,0.18270401948842874
སྐུ་,3,0.18270401948842874
བྱང་ཆུབ་,3,0.18270401948842874
ཁོང་,3,0.18270401948842874
ཐོབ་པ,3,0.18270401948842874
མཁའ་འགྲོ་,3,0.18270401948842874
བཞིན་,3,0.18270401948842874
ཀུན་,3,0.18270401948842874
གཞན་,3,0.18270401948842874
ལྟས་,3,0.18270401948842874
ལ་སོགས་པ,3,0.18270401948842874
ཚེ་,3,0.18270401948842874
ཁ་,3,0.18270401948842874
གཏི་མུག་,3,0.18270401948842874
ཆེ་བ་,3,0.18270401948842874
འབྱུང,3,0.18270401948842874
སྐྱེས་པ,3,0.18270401948842874
རྟོག་པ,3,0.18270401948842874
ཐམས་ཅད་,3,0.18270401948842874
རང་ཉིད་,3,0.18270401948842874
ཞལ་,3,0.18270401948842874
མང་,3,0.18270401948842874
བཟླས་,3,0.18270401948842874
སྔོན་པོ་,3,0.18270401948842874
ཕཊ་,3,0.18270401948842874
ཕྱི་,3,0.18270401948842874
གཙོ་འཁོར་,3,0.18270401948842874
རྟེན་,3,0.18270401948842874
ལོན་,3,0.18270401948842874
གང་,3,0.18270401948842874
ཅིང་,3,0.18270401948842874
བདེ་,3,0.18270401948842874
གསལ་,3,0.18270401948842874
འདུ,3,0.18270401948842874
བདེ,3,0.18270401948842874
ཆོས་,3,0.18270401948842874
ཕྱོགས་པ་,3,0.18270401948842874
རྒྱབ་ཕྱོགས་,3,0.18270401948842874
༄,2,0.12180267965895249
བཞུགས་,2,0.12180267965895249
ཚོགས་པ་,2,0.12180267965895249
ཡི་,2,0.12180267965895249
བཀའ་,2,0.12180267965895249
ཡར་,2,0.12180267965895249
བྱོན་,2,0.12180267965895249
འགྲོ་,2,0.12180267965895249
དགོས་,2,0.12180267965895249
ནུབ་,2,0.12180267965895249
ན་རེ,2,0.12180267965895249
ངམ་,2,0.12180267965895249
སྨད་,2,0.12180267965895249
དངོས་གྲུབ་,2,0.12180267965895249
སྒོམ་,2,0.12180267965895249
རྣམ་པ་,2,0.12180267965895249
རྡོ་རྗེ་,2,0.12180267965895249
དག,2,0.12180267965895249
ཟབ་མོ་,2,0.12180267965895249
གསང་སྔགས་,2,0.12180267965895249
གོ,2,0.12180267965895249
རྣལ་འབྱོར་,2,0.12180267965895249
ཐགས་,2,0.12180267965895249
ཁྱད་པར་,2,0.12180267965895249
ལོང,2,0.12180267965895249
མེད་པ་,2,0.12180267965895249
བསམ་,2,0.12180267965895249
ཞིང,2,0.12180267965895249
ཆེན་པོ,2,0.12180267965895249
རིན་པོ་ཆེ་,2,0.12180267965895249
དགོས་པ,2,0.12180267965895249
མཉེས་,2,0.12180267965895249
ད་,2,0.12180267965895249
བར་,2,0.12180267965895249
ཡིན་པ,2,0.12180267965895249
ཕྱེ་,2,0.12180267965895249
གཉིས་ཀ,2,0.12180267965895249
ངེད་,2,0.12180267965895249
གྱུར་,2,0.12180267965895249
ཅི་,2,0.12180267965895249
བྱས་པ,2,0.12180267965895249
ང་,2,0.12180267965895249
ཡོད་པ་,2,0.12180267965895249
སྟེ་,2,0.12180267965895249
གཏོར་མ་,2,0.12180267965895249
རེ་,2,0.12180267965895249
བདུན་,2,0.12180267965895249
གསོལ་བ་,2,0.12180267965895249
ཟླ་བ་,2,0.12180267965895249
མགོན་པོ་,2,0.12180267965895249
ཁ་ཕྱི,2,0.12180267965895249
འཁོར་བ,2,0.12180267965895249
རླུང་,2,0.12180267965895249
ཚེ,2,0.12180267965895249
བར་ཆད་,2,0.12180267965895249
གསལ་བ,2,0.12180267965895249
འཆར,2,0.12180267965895249
འདུས་,2,0.12180267965895249
ཀླུ་,2,0.12180267965895249
སེམས་ཅན་,2,0.12180267965895249
སངས་རྒྱས་,2,0.12180267965895249
ལ་མ་,2,0.12180267965895249
སྐུ་མདོག་,2,0.12180267965895249
གསུམ་པ་,2,0.12180267965895249
གཡས་,2,0.12180267965895249
གཡོན་,2,0.12180267965895249
ཅན་,2,0.12180267965895249
ཅེས་,2,0.12180267965895249
བརྒྱ་,2,0.12180267965895249
བླང་བ་,2,0.12180267965895249
སྔགས་,2,0.12180267965895249
ཨ་,2,0.12180267965895249
ཀ་ར་,2,0.12180267965895249
ལྔ་,2,0.12180267965895249
ནུས་པ་,2,0.12180267965895249
གཡས་པ་,2,0.12180267965895249
སྐུ་གསུམ་,2,0.12180267965895249
བྱ་བ་,2,0.12180267965895249
